<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19940722,000000,0.9811,0.9908,0.93,0.9611,226537830,0
AAPL.US,D,19940725,000000,0.9648,0.9886,0.9537,0.9822,121726582,0
AAPL.US,D,19940726,000000,0.9845,0.9919,0.9648,0.9721,54378104,0
AAPL.US,D,19940727,000000,0.9684,0.9721,0.9497,0.9624,38530459,0
AAPL.US,D,19940728,000000,0.9611,0.9956,0.9572,0.9886,70651548,0
AAPL.US,D,19940729,000000,0.9886,1.0541,0.9886,1.0443,160063498,0
AAPL.US,D,19940801,000000,1.0417,1.0466,1.0154,1.0355,66032417,0
AAPL.US,D,19940802,000000,1.0391,1.0417,1.0045,1.0096,77635105,0
AAPL.US,D,19940803,000000,1.0154,1.0304,0.9956,1.0268,65332446,0
AAPL.US,D,19940804,000000,1.0268,1.0466,1.0268,1.0304,53210421,0
AAPL.US,D,19940805,000000,1.0193,1.0355,1.0193,1.0304,25060134,0
AAPL.US,D,19940808,000000,1.0268,1.0541,1.0232,1.0466,40688419,0
AAPL.US,D,19940809,000000,1.0391,1.0503,1.0268,1.0417,22637652,0
AAPL.US,D,19940810,000000,1.0417,1.0813,1.0304,1.0728,73028859,0
AAPL.US,D,19940811,000000,1.0613,1.0888,1.0503,1.064,85850841,0
AAPL.US,D,19940812,000000,1.0666,1.0888,1.0503,1.0775,51739529,0
AAPL.US,D,19940815,000000,1.0775,1.085,1.0613,1.0728,34582253,0
AAPL.US,D,19940816,000000,1.0666,1.0775,1.0541,1.0775,44852749,0
AAPL.US,D,19940817,000000,1.0813,1.0972,1.0728,1.085,82421973,0
AAPL.US,D,19940818,000000,1.0775,1.0926,1.0689,1.0728,59403691,0
AAPL.US,D,19940819,000000,1.0775,1.085,1.0613,1.0813,37598243,0
AAPL.US,D,19940822,000000,1.0775,1.085,1.0728,1.0813,43897948,0
AAPL.US,D,19940823,000000,1.0813,1.1125,1.0775,1.085,61761631,0
AAPL.US,D,19940824,000000,1.0775,1.085,1.0666,1.0813,49417053,0
AAPL.US,D,19940825,000000,1.0613,1.1286,1.0613,1.0875,86054049,0
AAPL.US,D,19940826,000000,1.0926,1.1195,1.0926,1.1088,58810161,0
AAPL.US,D,19940829,000000,1.1088,1.1195,1.0926,1.0972,43807631,0
AAPL.US,D,19940830,000000,1.0926,1.1286,1.0888,1.1233,52439489,0
AAPL.US,D,19940831,000000,1.1161,1.1594,1.1088,1.1209,101330761,0
AAPL.US,D,19940901,000000,1.0972,1.1088,1.0728,1.085,58835971,0
AAPL.US,D,19940902,000000,1.0926,1.1011,1.085,1.0972,29176069,0
AAPL.US,D,19940906,000000,1.0926,1.1038,1.085,1.1025,26331033,0
AAPL.US,D,19940907,000000,1.1038,1.1347,1.0972,1.1195,58723062,0
